"plot_id","year","soc_obs_tCha","soc_mean","soc_median","soc_q025","soc_q975","log_obs","log_hat_mean","residual_log","residual_abs","is_first","region","species_code","species_name","soil_code","soil_type","shallow","n_soc_obs","mean_litter","mean_soc_Mgha","litter_cv","sp_frac_1","sp_frac_3","sp_frac_2","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84","conifer_share","mean_temp","mean_precip_annual","PET_annual","coldest_month_T","warmest_month_T","T_seasonality","GDD5","P_seasonality","aridity_index","koppen_class","temp_zone","soil_depth","ClayContent","SiltContent","SandContent","MeanBulkDensity","EstimatedBulkDensity","CoarseFragments","pH.CaCl2.","pH.H2O.","OrganicCarbon","TotalNitrogen","ExchangeableAcidity","ExchangeableAl","ExchangeableCa","ExchangeableFe","ExchangeableK","ExchangeableMg","ExchangeableMn","ExchangeableNa","FreeHAcidity","OrganicMatter","TexturalClass","ofh_upper_cm","ofh_lower_cm","ofh_weight_kgm2","profile_depth_cm","KA","kasvyo_syke","kasvyo_ahti","kasvyo_sk","alavyo_syke","suovyohyke","alavyohyke","eliomk","clay","CN_ratio","CEC","base_saturation","litter_A_frac","litter_W_frac","litter_E_frac","litter_N_frac","woody_share","stand_age_85","basal_area_85","mean_height_85_dm","dev_class_85","kasvup_tyyppi","alaryhma","ojitustilanne","temp_sum_NFI","elevation_m","stand_age_2006_est","any_cut_85_95","n_cuts_85_95","any_trt_85_95","soil_prep_pre85","peatland","organic_missing","organic_zero","high_mrt","has_climate","has_soc","calib_ready"
"101391",1985,65.5123789639076,43.6848590292159,43.6324733062647,39.3788174860179,49.3137972220751,4.18223911659989,3.77700156676112,0.405237549838761,21.8275199346917,TRUE,2,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,2,1.06658119440913,50.1254199,0.290255873346628,0.778131636911142,0,0.221868363088859,375834.013177918,7437779.56396309,24.1477622522238,67.0318733109415,1,0.116080856598907,499.106092307692,548.270377481425,-13.0979205955335,14.7122848635236,10.0816989559377,817.644523076923,0.36348413354859,0.910328394177381,"Dfc","cold",30,2.8,28.6,68.6,NA,1077.569,25.5,4.427,5.026044,13.75,0.6,0.984,0.883,0.1755,0.0745,0.0395,0.0395,0.008,0.0215,0.1,4.3,"SL",-1,0,2.91,80,1,4,4,4,"4b","4","4a",18,2.8,22.9166666666667,1.259,0.219221604447975,0.561518833794759,0.11773685028793,0.0634497520185615,0.25729456389875,0.221263444407749,NA,9,NA,4,4,1,"0",85,20,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"101391",2006,64.3298942547197,54.0917168057381,54.2088051419705,49.0026374731504,58.9694438077277,4.16402444162737,3.99068106517883,0.173343376448539,10.2381774489816,FALSE,2,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,2,1.06658119440913,50.1254199,0.290255873346628,0.778131636911142,0,0.221868363088859,375834.013177918,7437779.56396309,24.1477622522238,67.0318733109415,1,0.116080856598907,499.106092307692,548.270377481425,-13.0979205955335,14.7122848635236,10.0816989559377,817.644523076923,0.36348413354859,0.910328394177381,"Dfc","cold",30,2.8,28.6,68.6,NA,1077.569,25.5,4.427,5.026044,13.75,0.6,0.984,0.883,0.1755,0.0745,0.0395,0.0395,0.008,0.0215,0.1,4.3,"SL",-1,0,2.91,80,1,4,4,4,"4b","4","4a",18,2.8,22.9166666666667,1.259,0.219221604447975,0.561518833794759,0.11773685028793,0.0634497520185615,0.25729456389875,0.221263444407749,NA,9,NA,4,4,1,"0",85,20,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"101431",1985,35.3325422465799,52.6908645616157,52.7967857844196,39.664652265124,59.1817342432216,3.56480441594558,3.96444209254389,-0.399637676598312,-17.3583223150358,TRUE,2,1,"Scots pine","Tu","Turvekerrostuma",FALSE,2,1.12287295412716,44.7532696,0.193669785547049,1,0,0,407809.131508828,7437772.51137614,24.8815481125518,67.0432627750593,1,0.126387980465339,499.350769230769,542.275229421064,-12.9951359801489,14.706870471464,10.0324056839692,811.521107692308,0.348308015635934,0.920843774781818,"Dfc","cold",100,1.5,39.7,58.8,NA,881.9375,63,4.3355,4.937106,14.45,0.6,0.92,0.8565,0.113,0.0685,0.0285,0.0505,0.0075,0.031,0.1,4.15,"SL",-2,0,2.38,80,1,4,4,4,"4b","4","4a",16,1.5,24.0833333333333,1.1795,0.189063162356931,0.570702570614126,0.112753282449522,0.0620440639870946,0.254500082949257,0.275927429703763,NA,7,NA,4,4,1,"0",83,21,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"101431",2006,88.9801126346797,59.6172578530326,59.8127415701747,50.5265116291121,65.7534772213548,4.48841289121975,4.08794509344902,0.400467797770735,29.3628547816471,FALSE,2,1,"Scots pine","Tu","Turvekerrostuma",FALSE,2,1.12287295412716,44.7532696,0.193669785547049,1,0,0,407809.131508828,7437772.51137614,24.8815481125518,67.0432627750593,1,0.126387980465339,499.350769230769,542.275229421064,-12.9951359801489,14.706870471464,10.0324056839692,811.521107692308,0.348308015635934,0.920843774781818,"Dfc","cold",100,1.5,39.7,58.8,NA,881.9375,63,4.3355,4.937106,14.45,0.6,0.92,0.8565,0.113,0.0685,0.0285,0.0505,0.0075,0.031,0.1,4.15,"SL",-2,0,2.38,80,1,4,4,4,"4b","4","4a",16,1.5,24.0833333333333,1.1795,0.189063162356931,0.570702570614126,0.112753282449522,0.0620440639870946,0.254500082949257,0.275927429703763,NA,7,NA,4,4,1,"0",83,21,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"101631",1985,113.846433640204,66.5462200461863,61.9883174553979,51.1218331003402,122.532947450174,4.73485046694404,4.19789674452307,0.53695372242097,47.3002135940177,TRUE,2,3,"Birch","KM","Kumpumoreeni",FALSE,2,1.44457770484576,85.916271,0.333233214529826,0.433956858806289,0.56604314119371,0,567789.566253972,7437764.71154186,28.5580317385908,67.0496584599602,0.433956858806289,-0.392516736032167,484.881384615385,536.022848393762,-13.5807776674938,14.2327935483871,9.98781051932283,720.638261538462,0.384619829207438,0.904590888370473,"Dfc","cold",30,3.7,39.5,56.8,976.786264656617,948.492,15.2,3.92375,4.536885,25.65,1.05,2.255,2.1635,0.396,0.1585,0.0295,0.086,0.0035,0.0245,0.1,5.75,"SL",-3,0,2.63,80,1,4,4,4,"4b","4","4c",17,3.7,24.4285714285714,2.7995,0.191462761207358,0.498164614273548,0.147311909531928,0.0773725159183876,0.277150960276137,0.161660427601761,NA,5,NA,4,4,1,"0",77,21,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"101631",2006,135.732262243773,78.9805474834307,80.1753252176568,66.2026260078885,90.5380291428417,4.91068428540573,4.3692015877594,0.541482697646326,56.7517147603423,FALSE,2,3,"Birch","KM","Kumpumoreeni",FALSE,2,1.44457770484576,85.916271,0.333233214529826,0.433956858806289,0.56604314119371,0,567789.566253972,7437764.71154186,28.5580317385908,67.0496584599602,0.433956858806289,-0.392516736032167,484.881384615385,536.022848393762,-13.5807776674938,14.2327935483871,9.98781051932283,720.638261538462,0.384619829207438,0.904590888370473,"Dfc","cold",30,3.7,39.5,56.8,976.786264656617,948.492,15.2,3.92375,4.536885,25.65,1.05,2.255,2.1635,0.396,0.1585,0.0295,0.086,0.0035,0.0245,0.1,5.75,"SL",-3,0,2.63,80,1,4,4,4,"4b","4","4c",17,3.7,24.4285714285714,2.7995,0.191462761207358,0.498164614273548,0.147311909531928,0.0773725159183876,0.277150960276137,0.161660427601761,NA,5,NA,4,4,1,"0",77,21,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"104411",1985,76.4297647931448,36.2046910228529,36.2319391072961,30.0330776949798,40.2060362590593,4.33637221183471,3.58918869670281,0.747183515131902,40.2250737702919,TRUE,2,3,"Birch","Mr","Sora- ja hiekkamoreeni",FALSE,2,0.939501723050411,68.82238709,0.400042240515637,0.243912150907946,0.603410231270178,0.152677617821876,391801.009872889,7461778.43855327,24.4918561586406,67.2530867203459,0.396589768729822,-0.0957029450135208,511.175384615385,532.280099491348,-13.1803732009926,14.4912054590571,10.0333823113189,778.761507692308,0.355288297271356,0.960350358963013,"Dfc","cold",30,2.1,17.5,80.4,NA,991.0395,20.95,4.244,4.848168,15.25,0.65,1.335,1.2055,0.354,0.0975,0.0445,0.0695,0.004,0.03,0.1,3.2,"LS",-4,0,5.45,80,1,4,4,4,"4b","4","4a",18,2.1,23.4615384615385,1.8035,0.276129747712781,0.475266631839381,0.158490072383403,0.0822102109568506,0.284033084820365,0.12017617201685,15,0,15,3,3,1,"0",79,27,36,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"104411",2006,95.1982496855012,54.7675673153519,55.4096788623137,46.651124545373,61.2306410744321,4.5559615559718,4.00309818143804,0.552863374533761,40.4306823701493,FALSE,2,3,"Birch","Mr","Sora- ja hiekkamoreeni",FALSE,2,0.939501723050411,68.82238709,0.400042240515637,0.243912150907946,0.603410231270178,0.152677617821876,391801.009872889,7461778.43855327,24.4918561586406,67.2530867203459,0.396589768729822,-0.0957029450135208,511.175384615385,532.280099491348,-13.1803732009926,14.4912054590571,10.0333823113189,778.761507692308,0.355288297271356,0.960350358963013,"Dfc","cold",30,2.1,17.5,80.4,NA,991.0395,20.95,4.244,4.848168,15.25,0.65,1.335,1.2055,0.354,0.0975,0.0445,0.0695,0.004,0.03,0.1,3.2,"LS",-4,0,5.45,80,1,4,4,4,"4b","4","4a",18,2.1,23.4615384615385,1.8035,0.276129747712781,0.475266631839381,0.158490072383403,0.0822102109568506,0.284033084820365,0.12017617201685,15,0,15,3,3,1,"0",79,27,36,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"104531",1985,46.5380704608363,103.843627094801,102.912932038307,94.0845772870994,115.494665758684,3.84027069721312,4.64288618199523,-0.802615484782104,-57.3055566339651,TRUE,2,1,"Scots pine","Jk","Jokikerrostuma",FALSE,2,1.34510558802703,51.35503106,0.578208038685972,1,0,0,487800.622420175,7461776.02015272,26.7170432404019,67.2724109233543,1,-0.234446378655024,461.789507692308,519.609180506323,-13.4808248138958,14.5010749379653,10.096710045657,764.2396,0.403198831201179,0.888724689664501,"Dfc","cold",30,1.2,11.9,87,NA,1210.308,3.15,4.38125,4.981575,8.8,0.45,0.71,0.6715,0.085,0.01,0.024,0.033,0.0615,0.0185,0.1,2.35,"S",-2,0,7.82,80,1,4,4,4,"4b","4","4c",19,1.2,19.5555555555556,0.932,0.172210300429185,0.573650872467676,0.0951737137143735,0.057720119932855,0.273455293885096,0.418043453692684,NA,13,NA,4,5,1,"0",80,18,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"104531",2006,82.232568095299,102.923811336327,102.861221617088,89.9792549115489,115.814921680838,4.40955142913236,4.63398901875593,-0.224437589623566,-20.6912432410283,FALSE,2,1,"Scots pine","Jk","Jokikerrostuma",FALSE,2,1.34510558802703,51.35503106,0.578208038685972,1,0,0,487800.622420175,7461776.02015272,26.7170432404019,67.2724109233543,1,-0.234446378655024,461.789507692308,519.609180506323,-13.4808248138958,14.5010749379653,10.096710045657,764.2396,0.403198831201179,0.888724689664501,"Dfc","cold",30,1.2,11.9,87,NA,1210.308,3.15,4.38125,4.981575,8.8,0.45,0.71,0.6715,0.085,0.01,0.024,0.033,0.0615,0.0185,0.1,2.35,"S",-2,0,7.82,80,1,4,4,4,"4b","4","4c",19,1.2,19.5555555555556,0.932,0.172210300429185,0.573650872467676,0.0951737137143735,0.057720119932855,0.273455293885096,0.418043453692684,NA,13,NA,4,5,1,"0",80,18,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"107431",1985,67.3684386372937,58.8418846215719,58.9704461097717,53.3844868520275,64.4921961692209,4.21017663876952,4.07485392481873,0.135322713950782,8.52655401572184,TRUE,2,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,2,1.26692888206158,58.8932171,0.231508510380491,0.81581011832814,0.176180230634042,0.00800965103781908,407803.802177286,7485853.12096261,24.8430821750175,67.4742512974611,0.823819769365959,-0.13159784872895,469.718907692308,528.145594554616,-13.3452838709677,14.5408694789082,10.112105647457,783.259353846154,0.389364074309049,0.889373900938094,"Dfc","cold",30,3.1,39.3,57.6,NA,1003.3095,31.9,4.10675,4.714761,12.95,0.65,1.98,1.7645,0.1655,0.158,0.037,0.0825,0.001,0.0175,0.215,3.05,"SL",-3,0,4.62,80,1,4,4,4,"4b","4","4a",18,3.1,19.9230769230769,2.282,0.132559158632778,0.542714215461619,0.129110521452499,0.0692046101039503,0.258970652981932,0.207276581198813,NA,5,NA,4,4,1,"0",78,20,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"107431",2006,81.1559116911045,69.8777063304075,70.3475940714998,61.8156242265773,77.3558114847168,4.39637214024261,4.24674666175075,0.149625478491859,11.278205360697,FALSE,2,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,2,1.26692888206158,58.8932171,0.231508510380491,0.81581011832814,0.176180230634042,0.00800965103781908,407803.802177286,7485853.12096261,24.8430821750175,67.4742512974611,0.823819769365959,-0.13159784872895,469.718907692308,528.145594554616,-13.3452838709677,14.5408694789082,10.112105647457,783.259353846154,0.389364074309049,0.889373900938094,"Dfc","cold",30,3.1,39.3,57.6,NA,1003.3095,31.9,4.10675,4.714761,12.95,0.65,1.98,1.7645,0.1655,0.158,0.037,0.0825,0.001,0.0175,0.215,3.05,"SL",-3,0,4.62,80,1,4,4,4,"4b","4","4a",18,3.1,19.9230769230769,2.282,0.132559158632778,0.542714215461619,0.129110521452499,0.0692046101039503,0.258970652981932,0.207276581198813,NA,5,NA,4,4,1,"0",78,20,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
