"plot_id","year","soc_obs_tCha","soc_pred","log_obs","log_hat","residual_log","residual_abs","region","species_code","species_name","soil_code","soil_type","shallow","n_soc_obs","mean_litter","mean_soc_Mgha","litter_cv","sp_frac_1","sp_frac_3","sp_frac_2","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84","conifer_share","mean_temp","mean_precip_annual","PET_annual","coldest_month_T","warmest_month_T","T_seasonality","GDD5","P_seasonality","aridity_index","koppen_class","temp_zone","soil_depth","ClayContent","SiltContent","SandContent","MeanBulkDensity","EstimatedBulkDensity","CoarseFragments","pH.CaCl2.","pH.H2O.","OrganicCarbon","TotalNitrogen","ExchangeableAcidity","ExchangeableAl","ExchangeableCa","ExchangeableFe","ExchangeableK","ExchangeableMg","ExchangeableMn","ExchangeableNa","FreeHAcidity","OrganicMatter","TexturalClass","ofh_upper_cm","ofh_lower_cm","ofh_weight_kgm2","profile_depth_cm","KA","kasvyo_syke","kasvyo_ahti","kasvyo_sk","alavyo_syke","suovyohyke","alavyohyke","eliomk","clay","CN_ratio","CEC","base_saturation","litter_A_frac","litter_W_frac","litter_E_frac","litter_N_frac","woody_share","stand_age_85","basal_area_85","mean_height_85_dm","dev_class_85","kasvup_tyyppi","alaryhma","ojitustilanne","temp_sum_NFI","elevation_m","stand_age_2006_est","any_cut_85_95","n_cuts_85_95","any_trt_85_95","soil_prep_pre85","peatland","organic_missing","organic_zero","high_mrt","has_climate","has_soc","calib_ready","is_holdout"
"3293",1985,59.7154424477432,68.8683201374266,4.08959065441628,4.23219627746918,-0.142605623052898,-9.15287768968336,1,2,"Norway spruce","HM","Harju, delta, sanduri, lajittunut reunamuodostuma",FALSE,3,2.66118404510928,55.8762357139476,0.184366698622145,0.107748126756104,0.298452588957202,0.593799284286693,292856.191277204,6647712.03686285,23.2945048379166,59.9147133731433,0.701547411042797,5.74185755637454,614.390923076923,680.702684020836,-4.50766839712012,16.9634521091811,7.81530180575437,1372.4698,0.319842347930223,0.902583370830542,"Dfb","warm",30,0.7,8.6,90.7,NA,979.6825,1.7,4.061,4.670292,27.65,1.8,1.881,1.831,0.3765,0.093,0.049,0.0725,0.0025,0.0385,0.1,5.95,"S",-4,0,4.53,40,3,1,1,1,"1","1","1a",3,0.7,15.3611111111111,2.4675,0.21742654508612,0.520720090128126,0.135407082064552,0.0694201950900834,0.274452632717239,0.123744723463133,NA,21,NA,5,3,1,"A",135,1,NA,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"3293",2006,76.1231313185542,71.9551175939855,4.33235217818925,4.27604255789202,0.0563096202972284,4.16801372456872,1,2,"Norway spruce","HM","Harju, delta, sanduri, lajittunut reunamuodostuma",FALSE,3,2.66118404510928,55.8762357139476,0.184366698622145,0.107748126756104,0.298452588957202,0.593799284286693,292856.191277204,6647712.03686285,23.2945048379166,59.9147133731433,0.701547411042797,5.74185755637454,614.390923076923,680.702684020836,-4.50766839712012,16.9634521091811,7.81530180575437,1372.4698,0.319842347930223,0.902583370830542,"Dfb","warm",30,0.7,8.6,90.7,NA,979.6825,1.7,4.061,4.670292,27.65,1.8,1.881,1.831,0.3765,0.093,0.049,0.0725,0.0025,0.0385,0.1,5.95,"S",-4,0,4.53,40,3,1,1,1,"1","1","1a",3,0.7,15.3611111111111,2.4675,0.21742654508612,0.520720090128126,0.135407082064552,0.0694201950900834,0.274452632717239,0.123744723463133,NA,21,NA,5,3,1,"A",135,1,NA,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"3293",2024,58.279209644503,72.3004121617598,4.06524541988472,4.28082982986437,-0.215584409979651,-14.0212025172568,1,2,"Norway spruce","HM","Harju, delta, sanduri, lajittunut reunamuodostuma",FALSE,3,2.66118404510928,55.8762357139476,0.184366698622145,0.107748126756104,0.298452588957202,0.593799284286693,292856.191277204,6647712.03686285,23.2945048379166,59.9147133731433,0.701547411042797,5.74185755637454,614.390923076923,680.702684020836,-4.50766839712012,16.9634521091811,7.81530180575437,1372.4698,0.319842347930223,0.902583370830542,"Dfb","warm",30,0.7,8.6,90.7,NA,979.6825,1.7,4.061,4.670292,27.65,1.8,1.881,1.831,0.3765,0.093,0.049,0.0725,0.0025,0.0385,0.1,5.95,"S",-4,0,4.53,40,3,1,1,1,"1","1","1a",3,0.7,15.3611111111111,2.4675,0.21742654508612,0.520720090128126,0.135407082064552,0.0694201950900834,0.274452632717239,0.123744723463133,NA,21,NA,5,3,1,"A",135,1,NA,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"5311",1985,39.3786592137002,72.4455385797854,3.67322402523928,4.28283508757158,-0.609611062332298,-33.0668793660852,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",TRUE,3,2.66897008215981,71.4852599878403,0.197723842435237,0.448227713852802,0.0407373525239722,0.511034933623226,308848.058094393,6662905.89219941,23.565860047031,60.0586206707017,0.959262647476028,5.53389818825964,642.090892307692,720.95750110968,-4.93832819249716,17.0145741935484,8.01628271763484,1362.27686153846,0.320268687487068,0.890608518975671,"Dfb","warm",30,4.9,38.1,57.1,NA,758.555,59.6,3.878,4.492416,53.3,2.6,4.4865,4.3935,0.7085,0.2635,0.1345,0.2285,0.0155,0.049,0.23,11.6,"SL",-3,0,6.78,20,1,1,1,1,"1","1","1a",2,4.9,20.5,5.744,0.195073119777159,0.553642462663201,0.113554846148729,0.0607447592482788,0.27205793193979,0.232830330667186,NA,24,NA,5,3,1,"0",134,4,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"5311",2006,145.568515518713,76.7847085239603,4.98064687281016,4.34100551256811,0.639641360242049,68.7838069947527,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",TRUE,3,2.66897008215981,71.4852599878403,0.197723842435237,0.448227713852802,0.0407373525239722,0.511034933623226,308848.058094393,6662905.89219941,23.565860047031,60.0586206707017,0.959262647476028,5.53389818825964,642.090892307692,720.95750110968,-4.93832819249716,17.0145741935484,8.01628271763484,1362.27686153846,0.320268687487068,0.890608518975671,"Dfb","warm",30,4.9,38.1,57.1,NA,758.555,59.6,3.878,4.492416,53.3,2.6,4.4865,4.3935,0.7085,0.2635,0.1345,0.2285,0.0155,0.049,0.23,11.6,"SL",-3,0,6.78,20,1,1,1,1,"1","1","1a",2,4.9,20.5,5.744,0.195073119777159,0.553642462663201,0.113554846148729,0.0607447592482788,0.27205793193979,0.232830330667186,NA,24,NA,5,3,1,"0",134,4,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"5311",2024,111.467281483378,72.9061592474501,4.71373110822739,4.2891731244367,0.424557983790684,38.5611222359279,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",TRUE,3,2.66897008215981,71.4852599878403,0.197723842435237,0.448227713852802,0.0407373525239722,0.511034933623226,308848.058094393,6662905.89219941,23.565860047031,60.0586206707017,0.959262647476028,5.53389818825964,642.090892307692,720.95750110968,-4.93832819249716,17.0145741935484,8.01628271763484,1362.27686153846,0.320268687487068,0.890608518975671,"Dfb","warm",30,4.9,38.1,57.1,NA,758.555,59.6,3.878,4.492416,53.3,2.6,4.4865,4.3935,0.7085,0.2635,0.1345,0.2285,0.0155,0.049,0.23,11.6,"SL",-3,0,6.78,20,1,1,1,1,"1","1","1a",2,4.9,20.5,5.744,0.195073119777159,0.553642462663201,0.113554846148729,0.0607447592482788,0.27205793193979,0.232830330667186,NA,24,NA,5,3,1,"0",134,4,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"5333",1985,78.8663802424487,107.558724250401,4.36775503111703,4.67803697051218,-0.310281939395151,-28.6923440079518,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",FALSE,3,2.76561635777096,96.9282537495098,0.403081862204246,0.0902140931407134,0.028813241750925,0.880972665108362,324844.957071297,6663674.33964223,23.8520662392764,60.0726553080433,0.971186758249076,5.48991702847486,614.321723076923,680.055924893692,-4.99849759378553,16.9560679900744,8.01920192213889,1357.69593846154,0.319321265399034,0.903340005710495,"Dfb","warm",30,2.2,19.5,78.3,NA,954.8825,13.35,3.7865,4.403478,26.9,1.05,2.5485,2.3525,0.215,0.1515,0.065,0.052,0.013,0.027,0.1,4.25,"LS",-9,0,14.6,80,3,1,1,1,"1","1","1a",3,2.2,25.6190476190476,2.8115,0.127689845278321,0.542060763611684,0.0973404647589735,0.0564385874497965,0.304160184179547,0.32985119584727,NA,29,NA,5,3,1,"0",134,4,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"5333",2006,154.458205191442,107.287467603113,5.03992354318135,4.675511845081,0.36441169810035,47.1707375883288,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",FALSE,3,2.76561635777096,96.9282537495098,0.403081862204246,0.0902140931407134,0.028813241750925,0.880972665108362,324844.957071297,6663674.33964223,23.8520662392764,60.0726553080433,0.971186758249076,5.48991702847486,614.321723076923,680.055924893692,-4.99849759378553,16.9560679900744,8.01920192213889,1357.69593846154,0.319321265399034,0.903340005710495,"Dfb","warm",30,2.2,19.5,78.3,NA,954.8825,13.35,3.7865,4.403478,26.9,1.05,2.5485,2.3525,0.215,0.1515,0.065,0.052,0.013,0.027,0.1,4.25,"LS",-9,0,14.6,80,3,1,1,1,"1","1","1a",3,2.2,25.6190476190476,2.8115,0.127689845278321,0.542060763611684,0.0973404647589735,0.0564385874497965,0.304160184179547,0.32985119584727,NA,29,NA,5,3,1,"0",134,4,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"5333",2024,100.93455831183,92.4207754926064,4.6144723693324,4.52635179636782,0.0881205729645851,8.51378281922358,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",FALSE,3,2.76561635777096,96.9282537495098,0.403081862204246,0.0902140931407134,0.028813241750925,0.880972665108362,324844.957071297,6663674.33964223,23.8520662392764,60.0726553080433,0.971186758249076,5.48991702847486,614.321723076923,680.055924893692,-4.99849759378553,16.9560679900744,8.01920192213889,1357.69593846154,0.319321265399034,0.903340005710495,"Dfb","warm",30,2.2,19.5,78.3,NA,954.8825,13.35,3.7865,4.403478,26.9,1.05,2.5485,2.3525,0.215,0.1515,0.065,0.052,0.013,0.027,0.1,4.25,"LS",-9,0,14.6,80,3,1,1,1,"1","1","1a",3,2.2,25.6190476190476,2.8115,0.127689845278321,0.542060763611684,0.0973404647589735,0.0564385874497965,0.304160184179547,0.32985119584727,NA,29,NA,5,3,1,"0",134,4,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"5371",1985,58.7654540254293,56.6117105881105,4.07355416567476,4.03621586465812,0.037338301016641,2.15374343731883,1,1,"Scots pine","Ka","Prekvartäärisen kallioperän paljastumia",FALSE,3,1.88077721795756,96.22285335161,0.177188546235608,0.827116134813408,0.0381308015989936,0.134753063587595,356845.547274317,6662896.543417,24.4269805793465,60.0781078005587,0.961869198401003,5.58025974927711,581.048630769231,638.324277404036,-4.88217156119742,16.9260724565757,7.9472824318206,1365.94167692308,0.327349006257054,0.910271865472928,"Dfb","warm",30,2.7,25.3,72,NA,318.24,61.1,3.695,4.31454,38.25,1.45,4.11,3.671,0.489,0.3155,0.111,0.1285,0.0055,0.047,0.395,9.05,"SL",-9,0,12.2,80,1,1,1,1,"1","1","1a",3,2.7,26.3793103448276,4.8415,0.160177630899515,0.56450855672079,0.118239049271147,0.062913290329935,0.254339103678128,0.224634910105253,NA,13,NA,4,3,1,"0",133,4,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
